City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
5,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
7,Sola,VU,82.99,moderate rain,-13.8833,167.55,Leumerus Bungalows
8,Atuona,PF,80.01,light rain,-9.8,-139.0333,Villa Enata
9,Xichang,CN,82.87,broken clouds,27.8964,102.2634,Xichang ibis Hotel
12,Port Blair,IN,86.0,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
28,Bedele,ET,75.2,broken clouds,8.456,36.353,Central Hotel
37,Rikitea,PF,77.54,clear sky,-23.1203,-134.9692,Pension Maro'i
41,Georgetown,MY,89.01,scattered clouds,5.4112,100.3354,Cititel Penang
51,Victoria,HK,79.0,broken clouds,22.2855,114.1577,Mini Hotel Central
53,Binzhou,CN,81.95,scattered clouds,37.3667,118.0167,Hampton By Hilton Binzhou
55,Faanui,PF,82.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Vanimo,PG,77.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
58,Butaritari,KI,83.14,light rain,3.0707,172.7902,Isles Sunset Lodge
64,Pontianak,ID,89.6,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
67,Kavieng,PG,83.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
69,Lorengau,PG,82.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
70,Wattegama,LK,89.6,scattered clouds,6.7989,81.4808,
71,Portobelo,PA,75.99,overcast clouds,9.55,-79.65,Scuba Portobelo
72,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
79,Carnarvon,AU,79.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
84,Nhulunbuy,AU,86.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
88,Bireun,ID,84.52,overcast clouds,5.202999999999999,96.7009,Hotel Fajar
89,Save,BJ,82.78,overcast clouds,8.0425,2.4859999999999998,Restaurant Plazza Hotel
90,Hithadhoo,MV,83.07,overcast clouds,-0.6,73.0833,Scoop Guest House
99,Mubi,NG,88.38,broken clouds,10.2676,13.2644,Hotel
105,Kavaratti,IN,84.25,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
112,Kapit,MY,84.27,light rain,2.0167,112.9333,Hotel Meligai Kapit
122,Kathu,TH,86.0,moderate rain,7.9178,98.3332,Novotel Phuket Resort
124,Souillac,MU,84.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
125,Cukai,MY,87.8,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
