City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Chokurdakh,RU,70.6333,147.9167,9.21,92,25,4.65,scattered clouds
1,Monte Alegre,BR,-2.0078,-54.0692,71.74,97,100,1.32,light rain
2,Pimentel,PE,-6.8367,-79.9342,66.0,85,100,1.99,overcast clouds
3,Rincon,US,32.296,-81.2354,64.4,94,1,6.91,clear sky
4,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,45,0,14.97,clear sky
5,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,75,19.57,light rain
6,Vaini,TO,-21.2,-175.2,77.0,88,40,6.91,light rain
7,Sola,VU,-13.8833,167.55,82.99,74,22,10.65,moderate rain
8,Atuona,PF,-9.8,-139.0333,80.01,79,27,17.31,light rain
9,Xichang,CN,27.8964,102.2634,82.87,23,81,14.07,broken clouds
10,Cleethorpes,GB,53.5605,-0.0323,44.01,87,90,1.14,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,72.07,81,92,20.13,light rain
12,Port Blair,IN,11.6667,92.75,86.0,70,75,4.61,broken clouds
13,Hilo,US,19.7297,-155.09,73.4,78,90,6.2,heavy intensity rain
14,Tahara,JP,34.6667,137.2667,66.99,13,0,8.01,clear sky
15,Guadalupe Y Calvo,MX,26.1,-106.9667,37.0,86,12,4.54,few clouds
16,Lopatino,RU,52.6195,45.8118,51.64,55,100,17.69,overcast clouds
17,Catacocha,EC,-4.0667,-79.6333,54.77,95,68,1.34,light rain
18,Krasnovishersk,RU,60.4078,57.082,35.19,42,1,5.64,clear sky
19,Druskininkai,LT,54.0167,23.9667,53.6,66,20,2.24,few clouds
20,Porteirinha,BR,-15.7433,-43.0283,66.25,81,99,3.71,overcast clouds
21,Jiangyou,CN,31.7667,104.7167,58.05,88,100,0.89,overcast clouds
22,Ilo,PE,-17.6394,-71.3375,65.39,85,4,5.06,clear sky
23,Barrow,US,71.2906,-156.7887,24.8,74,1,10.36,clear sky
24,Albany,US,42.6001,-73.9662,42.01,91,100,2.93,overcast clouds
25,Mataura,NZ,-46.1927,168.8643,57.99,82,27,5.99,scattered clouds
26,Provideniya,RU,64.3833,-173.3,24.24,90,100,5.86,overcast clouds
27,Kapaa,US,22.0752,-159.319,73.4,73,75,10.36,broken clouds
28,Bedele,ET,8.456,36.353,75.2,37,55,8.93,broken clouds
29,Pokhara,NP,28.2333,83.9833,90.21,12,57,8.41,broken clouds
30,Hobart,AU,-42.8794,147.3294,62.6,34,75,24.16,broken clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,73.83,85,59,14.0,broken clouds
32,Severo-Kurilsk,RU,50.6789,156.125,36.5,96,100,30.11,heavy intensity rain
33,Beringovskiy,RU,63.05,179.3167,32.13,85,97,3.4,overcast clouds
34,Busselton,AU,-33.65,115.3333,64.99,94,63,10.42,broken clouds
35,Ushuaia,AR,-54.8,-68.3,48.2,61,90,24.16,overcast clouds
36,Tasiilaq,GL,65.6145,-37.6368,14.0,62,20,5.75,few clouds
37,Rikitea,PF,-23.1203,-134.9692,77.54,75,3,5.73,clear sky
38,Cape Town,ZA,-33.9258,18.4232,64.99,77,20,24.16,few clouds
39,Ust-Ilimsk,RU,58.0006,102.6619,34.29,93,100,14.27,snow
40,Kurilsk,RU,45.2333,147.8833,35.85,86,98,21.99,light rain
