City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand Gaube,MU,2021-04-18 23:32:30,-20.0064,57.6608,78.01,84,92,5.99
1,Punta Arenas,CL,2021-04-18 23:32:31,-53.15,-70.9167,51.8,82,75,16.11
2,Airai,TL,2021-04-18 23:32:31,-8.9266,125.4092,66.42,56,91,2.37
3,Leningradskiy,RU,2021-04-18 23:28:08,69.3833,178.4167,31.59,71,37,6.58
4,Ushuaia,AR,2021-04-18 23:31:37,-54.8,-68.3,53.6,62,20,6.91
5,Rikitea,PF,2021-04-18 23:28:25,-23.1203,-134.9692,77.81,76,9,9.4
6,Klaksvik,FO,2021-04-18 23:32:32,62.2266,-6.589,41.0,93,40,6.91
7,Butaritari,KI,2021-04-18 23:32:32,3.0707,172.7902,83.32,76,84,14.61
8,Puerto Ayora,EC,2021-04-18 23:32:33,-0.7393,-90.3518,78.8,83,75,9.22
9,Lompoc,US,2021-04-18 23:29:37,34.6391,-120.4579,66.99,77,0,17.27
10,Mataura,NZ,2021-04-18 23:27:52,-46.1927,168.8643,60.01,77,94,3.0
11,Erzin,TR,2021-04-18 23:30:51,36.9559,36.2,73.0,64,100,10.0
12,Kapaa,US,2021-04-18 23:32:34,22.0752,-159.319,78.8,61,1,12.66
13,Aksu,CN,2021-04-18 23:32:34,41.1231,80.2644,60.15,40,99,6.8
14,Fortuna,US,2021-04-18 23:32:21,40.5982,-124.1573,54.0,87,1,16.11
15,Hilo,US,2021-04-18 23:28:32,19.7297,-155.09,82.4,54,20,12.66
16,Busselton,AU,2021-04-18 23:32:35,-33.65,115.3333,61.63,75,90,7.58
17,Cabo San Lucas,MX,2021-04-18 23:27:50,22.8909,-109.9124,80.6,50,1,4.61
18,Qaanaaq,GL,2021-04-18 23:29:11,77.484,-69.3632,3.72,77,99,4.85
19,Narsaq,GL,2021-04-18 23:27:47,60.9167,-46.05,30.2,34,40,3.44
20,Port Lincoln,AU,2021-04-18 23:32:36,-34.7333,135.8667,61.68,70,2,13.18
21,Albany,US,2021-04-18 23:30:01,42.6001,-73.9662,55.0,44,94,3.0
22,Hay River,CA,2021-04-18 23:32:36,60.8156,-115.7999,44.6,52,100,6.91
23,Murray Bridge,AU,2021-04-18 23:32:37,-35.1167,139.2667,59.0,84,21,3.0
24,San Quintin,MX,2021-04-18 23:32:37,30.4833,-115.95,67.12,59,1,8.25
25,Esmeraldas,BR,2021-04-18 23:32:38,-19.7625,-44.3139,71.6,64,0,8.05
26,Katsuura,JP,2021-04-18 23:32:03,35.1333,140.3,59.0,33,0,13.8
27,Kasamwa,TZ,2021-04-18 23:32:38,-2.85,32.4333,62.26,96,89,4.18
28,Mezen,RU,2021-04-18 23:32:39,65.8522,44.24,26.6,72,62,5.35
29,Plettenberg Bay,ZA,2021-04-18 23:32:39,-34.0527,23.3716,67.14,55,8,11.79
